,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
A Multi-Level Energy Resource Allocation System for Building Energy Management,Energy,Stanford University,"December 03, 2015","December 03, 2015",proposal,,"1) Minimizes energy use 


2) Reduces operating costs


3) Utilizes wireless technology facilitating retrofit & reconfigurable spaces


4) Multi-level system for fast local response while providing centralized information management


5) Customizable 


6) Allows tailored controls for varied preferences


7) Provides system performance information to the building manager 


8) Provides information regarding explicit tradeoff between energy use and building performance


9) Provides periodic, automated commissioning and updating to capture lighting system degradation over time",,"Energy > Energy efficiency
Energy > ICT in energy
Building & Construction > Buildings",,
A Multiple Beam Lidar for Wind Measurement,Energy,University of Iowa Research Foundation,"December 03, 2015","December 03, 2015",proposal,,"This system has distinct advantages over currently available technology:  


1) Lower cost compared to existing Doppler shift systems  ·


2) Does not require additional, spatially separated LIDAR devices, such as those utilized by  “triple-beam sounding” techniques  


3) May be used to replace expensive radar-based wind profile systems that are required in major airports to monitor wind shear conditions  


4) May be used in  the emerging wind energy industry for site assessment or turbine optimization  ",,Energy > Wind,,
A Nanorod-Based System for Efficient Conversion of Sunlight into Hydrogen,Energy,Emory University,"December 03, 2015","December 03, 2015",proposal,,"1) Provides almost 100% quantum efficiency for photoreduction of a redox mediator during solar-to-fuel conversion for use in batteries, fuel cells, and other energy sources.


2) Provides unique absorption properties, larger extinction coefficients, weaker concentration dependence, and enhanced photostability compared to commonly-used molecular chromophores.


3) Offers both efficient electron excitation and efficient photoreduction of the redox mediator into its active form.",,"Energy > Solar
Energy > Energy generation (Others)",,
A New Method for Hydrogen Production from Wastewater,Water,Virginia Tech Intellectual Properties Inc,"June 29, 2016","June 29, 2016",proposal,,"Advantages:

1. Energy efficient wastewater treatment

2. Recovery of high-quality water from wastewater for reuse",,"Water > Water treatment
Energy > Wind
Energy > Waste to energy
Other Areas > Other Areas",,
A New Molecular Method for Cargo Delivery Across the Algal Cell Barrier Based on Guandinium-Rich Molecular Transporters,Energy,Stanford University,"December 03, 2015","December 03, 2015",proposal,,"1) Simple and inexpensive


2) Utilizing any available GR-MoTr


3) Scalable


4) Applicable to multiple algal species 


5) Small and large delivery cargoes


6) Improved understanding of biological barriers


7) Has potential extensions to plant cells",,Energy > Biomass/Bioenergy,,
A Novel Algal Harvesting and Dewatering Method for the Economically Feasible Production of Biofuels From Microalgae Growing on Industrial Emissions,Energy,University of Delaware,"December 07, 2015","December 07, 2015",proposal,,"1) Algae  are flocculated without the use of chemical additives.


2) Allows  for more efficient low-cost harvesting of algae.


3) Avoids  the release of chemical waste resulting in lower environmental impact.


4) Microalgae can grow in harsh environments and grow more efficiently than terrestrial agriculture  crops.",,Energy > Biomass/Bioenergy,,
A Novel Approach to Carbon-dioxide Purification for Oxy-Combustion System,Pollution and Waste,,,,,,,,,,
A Novel Interconnect Scheme for Solid Oxide Fuel Cell (SOFC) Stacks,Energy,"University of California, San Diego (UC San Diego)","May 26, 2016","May 26, 2016",proposal,,"This novel approach cuts raw material costs for the standard SOFC by 25 to 50 percent, reduces overall SOFC weight by 5-fold, and reduces overall stack height by 50 percent for comparable power generation and provides other performance and design improvements. 

The benefits of these reductions and improvements will lend to more cost effective SOFC systems, as well as new possibilities in portable SOFC systems for mobile applications, disaster response, portable power, etc.


Presently the designs described here are fully modeled with a 12-V prototype system available with cost reimbursement.",,Energy > Fuel cells,,
A Novel Method for Determining Global Horizontal Irradiance for Solar Power System Forecasting and Management,Energy,"University of California, San Diego (UC San Diego)","December 07, 2015","December 07, 2015",proposal,,"One benefit of the present system is the enablement of an  efficient calculation of the Global Horizontal Irradiance (GHI) across a  geographic area, allowing system designers and operators to ideally  place solar panels in zones where maximum energy generation is possible.  Current methods employ satellite and ground sensors, both expensive,  whereas the current method could turn all available solar panels into  irradiance sensors, analyzing only their output power.  


Other benefits of a real-time GHI assessment can be realized by solar forecasters, who need GHI measurements to optimize forecasting models. Operators need contact with forecasters to understand the future power generation potential of their solar assets to maximize profit or reduce penalties by ‘scheduling’ the power generation into the electric markets. Future traders could also benefit from a more accurate and real-time GHI measurement, knowing when solar production may ebb or spike, affecting more traditional sources of electrical generation, such as gas-fired turbines.",,Energy > Solar,,
A Novel Process for Epoxidation of Unsaturated Hydrocarbons,Chemicals and Advanced Materials,Northwestern University,"November 25, 2015","November 25, 2015",proposal,,"1) Environmentally friendly

2) Highly specific production

3) Inexpensive

4) Scalable  for commercial use",,Chemicals & Advanced Materials > Detergents,,
A Novel Process for Production of Biobutanol,Energy,National University of Singapore,"December 07, 2015","May 24, 2016",proposal,,"1)  Xylan can be utilized at high yield without pretreatment

2) Fewer purification steps required as no ethanol is produced

3) Higher solvent tolerance compared to conventional enzymes used",,Energy > Biomass/Bioenergy,,
A Novel Solid Oxide Electrolysis Cell with Improved Efficiency and Durability,Energy,Northwestern University,"December 07, 2015","December 07, 2015",proposal,,"1) More efficient fuel production from renewable electrical energy     


2) Not limited to geographical sites     


3) Improved long-term electrochemical electricity storage with up to 80% efficiencies     


4) Mitigated degradation in the solid oxide electrolysis cell    ",,Energy > Energy storage,,
"A Novel, Eco-Friendly Continuous Flow Intersection",Building and Construction,"University of California, Riverside (UCR)","October 20, 2016","October 20, 2016",proposal,,"    Benefits exceed costs compared to conventional:  Save 35-75% in travel time  Save 24-41% in fuel-energy consumption  Reduce 19-63% of emissions i.e. CO2, CO, HC  Decrease traffic congestion  Decrease pedestrian fatalities  ",,Building & Construction > Roads,,
A Periodic Compliant Mechanism for Solar Shading Shading,Green Products,University of South Florida,"June 29, 2016","June 29, 2016",proposal,,"Benefits:

1. Maintains visual privacy

2. Blocks direct light

3. Permits passage of diffused light

4. Adjustable",,"Green Products > Building interiors
Energy > Solar",,
